TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-0.28734142409449076,6.517806631496597,50.469637758231734,0.15344,0.05271,0.00054,-0.01578765588387998,8.987652966650971e-05,8.06762409436224,1.6399756900340062e-279,-1.7274746192751077e-279,-4.9054783005628975e-279,,,,5.847371725255836e-282,4.543396998753701e-280,-5.897155344195256e-279,0.0,0.0,0.0,0.0,-0.0,0.0,50.88957362590801,0.0,4572,5400,5580,5624,5624
0.00083,-0.27792388643288846,6.527533702496988,50.48344768808102,0.15428,0.05242,0.00054,-0.01581068318604669,9.133455255491865e-05,8.079472964952759,2.8609467850707543e-279,-2.3944770555856153e-279,-7.254628240923918e-279,,,,6.547130856145124e-282,5.087217796607046e-280,-6.603014730686987e-279,-2.3012798689535403e-05,0.0005310953730073797,0.004109951538147563,1.8323930534522745e-283,1.6781083561109234e-283,-4.950561774637405e-283,50.90446373746704,0.0,4572,5400,5580,5624,5624
0.00167,-0.2685069743933839,6.537068893900572,50.49693148292962,0.15324,0.05317,0.00053,-0.015832557038308225,9.273479680694717e-05,8.09074000043942,4.091812062887436e-279,-2.9745671780216307e-279,-9.428520015111691e-279,,,,6.707756604780628e-282,5.212150130913045e-280,-6.765173057952461e-279,-4.552684301729948e-05,0.001069383129184152,0.008270545120751545,4.697068753988009e-283,3.890261961241781e-283,-1.1824352519089197e-282,50.91900877776971,0.0,4572,5400,5580,5624,5624
0.0025,-0.2590528183127728,6.546220383639429,50.50992174904232,0.15315,0.05278,0.00053,-0.015852240798329857,9.401774174263215e-05,8.10089828116315,5.198580772997103e-279,-3.3800336038454334e-279,-1.1138809011977682e-278,,,,6.166804667664594e-282,4.791965650738061e-280,-6.219790689422734e-279,-6.700459351805618e-05,0.0016020234606067218,0.01238268562610497,8.479327033369143e-283,6.477315258551591e-283,-2.019762067595269e-282,50.933017825063445,0.0,4572,5400,5580,5624,5624
0.00333,-0.24953360924534554,6.55483287383755,50.52227118406815,0.15338,0.05247,0.00054,-0.015868957635686284,9.513806502455931e-05,8.109552720278478,6.0250982578902025e-279,-3.519023891548725e-279,-1.2071274515351188e-278,,,,4.796143848906676e-282,3.7270938371892485e-280,-4.8376288086075116e-279,-8.770990986358852e-05,0.0021353869902984955,0.016495857748701298,1.304865512202883e-282,9.286025050788984e-283,-2.964679383118118e-282,50.94632456441395,0.0,4572,5400,5580,5624,5624
0.00417,-0.23994295426448328,6.562797577398517,50.53386333871632,0.15316,0.053,0.00053,-0.015882252376932044,9.606859517054988e-05,8.116471316450756,6.404436431788941e-279,-3.304630791059516e-279,-1.1913762180738382e-278,,,,2.525384409971269e-282,1.9628263016166511e-280,-2.5476779049687725e-279,-0.00010787732323332049,0.002675859600150324,0.020659572603309063,1.8169872004870433e-282,1.2097507253117232e-282,-3.952910865070401e-282,50.95879932454518,0.0,4572,5400,5580,5624,5624
0.005,-0.23030419170866276,6.570053428892571,50.54462167304142,0.15279,0.05232,0.00053,-0.015892002722280356,9.680133178238653e-05,8.121590553779148,6.174535555234154e-279,-2.6658667189645775e-279,-1.0391392158558996e-278,,,,-6.348195412424665e-283,-4.925763303735677e-281,6.393401766919468e-280,-0.00012702178991660622,0.0032105176638929436,0.02477462934586524,2.329096018536734e-282,1.4528186346910692e-282,-4.860987155954706e-282,50.97035826978372,0.0,4572,5400,5580,5624,5624
0.00583,-0.22067413753385073,6.576581079492649,50.554519326047206,0.15377,0.05303,0.00054,-0.015898384116670217,9.734566046516968e-05,8.124997214939913,5.197501162069422e-279,-1.5598146067906725e-279,-7.307073102595719e-279,,,,-4.572214326525975e-282,-3.55191121686077e-280,4.610239620816891e-279,-0.0001453817941675628,0.0037457368746810684,0.028890527024649636,2.7920686913532385e-282,1.6248524599845541e-282,-5.581518224434206e-282,50.98097233338922,0.0,4572,5400,5580,5624,5624
0.00667,-0.21114133194386212,6.582392700113122,50.563590218505844,0.15353,0.05293,0.00054,-0.015901800185713393,9.772436519006137e-05,8.126892786951354,3.3813943138465473e-279,1.6078265760870217e-281,-2.5842475995458356e-279,,,,-9.058156376630534e-282,-7.037539366895176e-280,9.134451942517619e-279,-0.00016317345514098351,0.004287912912348385,0.03305679537410431,3.145536342751928e-282,1.688457484707664e-282,-5.9890604200038425e-282,50.99067689397286,0.0,4572,5400,5580,5624,5624
0.0075,-0.20181898546987234,6.587520822256079,50.571939159094654,0.15376,0.05228,0.00054,-0.015902794564574753,9.796834397111608e-05,8.127548628562309,7.027649218374826e-280,2.0128899011954088e-279,3.692277833268006e-279,,,,-1.3741775724399789e-281,-1.0676848457614471e-279,1.3858136881335582e-278,-0.00017998568910337277,0.004824079846714319,0.037174174478360494,3.311808591475478e-282,1.6058551471786233e-282,-5.943950847143663e-282,50.99958031001554,0.0,4572,5400,5580,5624,5624
0.00833,-0.19283408258007115,6.592008744723942,50.57974626595459,0.15374,0.05236,0.00054,-0.015901960422310662,9.811102315497259e-05,8.127260257486402,-2.772374089269848e-279,4.321847539353788e-279,1.1242464708532408e-278,,,,-1.815614294494811e-281,-1.410704211478739e-279,1.831039868599998e-278,-0.00019605260748328806,0.005360638264680426,0.04129221131954239,3.2275516978555554e-282,1.3479584838677044e-282,-5.335935076153155e-282,51.007867006985,0.0,4572,5400,5580,5624,5624
0.00917,-0.18431493901483545,6.595904004287077,50.587260836931925,0.15327,0.0526,0.00054,-0.015899861770282592,9.818335915107973e-05,8.126307902080969,-6.871878440643751e-279,6.770349236378658e-279,1.9569763767701538e-278,,,,-2.1738974618609602e-281,-1.6891225622958217e-279,2.1924164732464576e-278,-0.00021159190147104138,0.005904006645765177,0.045460494346195514,2.8301892051180556e-282,8.909377923139768e-283,-4.0664096384753654e-282,51.01579050268947,0.0,4572,5400,5580,5624,5624
0.01,-0.176379544071734,6.599255358615898,50.594782354342115,0.15264,0.05305,0.00053,-0.015896976193822254,9.821008548049217e-05,8.124928118099293,-1.1308115375923324e-278,9.124004312560219e-279,2.7958164513855873e-278,,,,-2.386947838275908e-281,-1.854703236313148e-279,2.407334152833441e-278,-0.00022627631491922026,0.006441201376168003,0.04957976709757707,2.090054386854884e-282,2.43854817806351e-283,-2.1314763862407386e-282,51.02365414702318,0.0,4572,5400,5580,5624,5624
0.01083,-0.16912614468228857,6.602112797100725,50.60263069811823,0.15289,0.05266,0.00053,-0.01589366277165928,9.820758037469343e-05,8.123298248974441,-1.5678917634392554e-278,1.1096080597102846e-278,3.549281685689851e-278,,,,-2.392157635585136e-281,-1.8587976824905313e-279,2.412648932818082e-278,-0.00024034236976692964,0.00697864887583946,0.053699665579062306,9.913717924554103e-283,-5.79335168993396e-283,4.517082418347257e-283,51.03178157392307,0.0,4572,5400,5580,5624,5624
0.01167,-0.16262615899772834,6.604529491866249,50.61111139250173,0.15337,0.0525,0.00054,-0.015890153771743024,9.818344984716205e-05,8.121532891411658,-1.9481508373429616e-278,1.2365296416922372e-278,4.11082583331291e-278,,,,-2.1331991518916236e-281,-1.657635704748229e-279,2.151548747231199e-278,-0.0002540112281831537,0.007522788951429478,0.05786987418068003,-4.573080799188796e-283,-1.5459908247252638e-282,3.607825741814246e-282,51.04048249635519,0.0,4572,5400,5580,5624,5624
0.0125,-0.1569185797386277,6.606564388019395,50.62048221982944,0.15314,0.05266,0.00053,-0.015886566192645262,9.813768653210153e-05,8.119690283060702,-2.2141330376798738e-278,1.260222047038192e-278,4.3666297625081626e-278,,,,-1.5679625144889592e-281,-1.2184931435327108e-279,1.58155885371894e-278,-0.00026702037381421887,0.008060632399920442,0.061991164204028455,-2.151836279698803e-282,-2.5624558884827535e-282,7.059125076706946e-282,51.050019947320116,0.0,4572,5400,5580,5624,5624
