TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,4.392260219568995,9.207807284988034,84.90350354682326,0.28335,0.06334,0.00079,-0.0040629159338600555,2.0000032378831775e-05,2.075801629630593,3.1936578758426157e-199,-3.6880330988546954e-199,-8.755792565579234e-199,,,,-2.4336638227323183e-202,-1.8893755696436408e-200,2.4523586182793484e-199,0.0,0.0,0.0,0.0,-0.0,0.0,85.514212733085,0.0,2864,3844,3956,4004,4004
0.00083,4.386333535759794,9.224504040244103,84.84801853176222,0.28362,0.06329,0.00079,-0.004049180666718116,2.015312329215011e-05,2.068908107178493,5.499142749433326e-199,-2.7627376678357983e-199,-8.210981763909569e-199,,,,-2.862793787782001e-202,-2.2226497646313386e-200,2.8849425478415757e-199,0.00035738971967006806,0.0007504070425171881,0.006910839091102333,3.5389695265592156e-203,2.6262055406812003e-203,-6.907428331149835e-203,85.46062043679343,0.0,2864,3844,3956,4004,4004
0.00167,4.38096192767423,9.240241925227133,84.79087668001266,0.28353,0.0637,0.00079,-0.004035453631513653,2.02928422241375e-05,2.0620149520326034,7.812542587081039e-199,-1.282543394228267e-199,-6.608492409002239e-199,,,,-3.0892163649476336e-202,-2.3985707374360788e-200,3.1132867030247585e-199,0.0007186198273544768,0.001511191505786534,0.013900300851617881,9.023650118909865e-203,4.2929422438728365e-203,-1.301334807987296e-202,85.40531404083455,0.0,2864,3844,3956,4004,4004
0.0025,4.376438093305177,9.254245648032894,84.72893040446253,0.28374,0.06341,0.00079,-0.00402137359527768,2.0407684260305653e-05,2.0549318339607847,9.879158025855551e-199,7.370669522603663e-200,-3.842522652489965e-199,,,,-3.0334227671532725e-202,-2.3554015475337413e-200,3.057257938578739e-199,0.00107514671830858,0.0022641298366253095,0.02080170647773749,1.6226206813945544e-202,4.5150138855445986e-203,-1.7268113076632358e-202,85.3450989827941,0.0,2864,3844,3956,4004,4004
0.00333,4.3729615616294355,9.265898706091198,84.65938366120025,0.28368,0.06335,0.00079,-0.004006604870831796,2.048948614466998e-05,2.047482511478906,1.1403368182009907e-198,3.2165742893860714e-199,9.194477660681289e-201,,,,-2.625907734821221e-202,-2.0391678032766736e-200,2.646798595694818e-199,0.0014313479023604506,0.0030181126934982327,0.027697758825821723,2.4890642471060693e-202,2.9054272314517094e-203,-1.8795029588572528e-202,85.27714179981251,0.0,2864,3844,3956,4004,4004
0.00417,4.370612583844065,9.274788123995389,84.57999674475725,0.28399,0.06328,0.00079,-0.003990881549033517,2.0534166514052445e-05,2.0395278410631583,1.2070472614223575e-198,6.004074505009881e-199,5.071552007034864e-199,,,,-1.8175689304449816e-202,-1.411731794544729e-200,1.8324065228921934e-199,0.0017916006443022498,0.0037820260722714605,0.034670759777307984,3.456233435592481e-202,-8.936644848153108e-204,-1.6667565643776485e-202,85.19917721695562,0.0,2864,3844,3956,4004,4004
0.005,4.36933638887134,9.280728240084274,84.48924665889984,0.28404,0.0634,0.00079,-0.003974038181041948,2.0541733627154162e-05,2.030981589254628,1.15765101033815e-198,8.872726187082883e-199,1.0823826393342057e-198,,,,-5.906307424064848e-203,-4.592742485867562e-201,5.961441933710158e-200,0.002147417076904953,0.0045374489767276895,0.041553822280135974,4.41893757250026e-202,-6.950233198576657e-203,-1.0196318666307034e-202,85.1096693574463,0.0,2864,3844,3956,4004,4004
0.00583,4.368941055604847,9.283761278387686,84.38642871660728,0.28426,0.06324,0.00079,-0.0039560274317486065,2.051572254020974e-05,2.021819331175128,9.664883544282831e-199,1.1525832929822197e-198,1.6917431864103922e-198,,,,1.0309795466167903e-202,7.996485569750519e-201,-1.0379033396568657e-199,0.002503165459085745,0.00529323719175896,0.048429004338185935,5.283706569987146e-202,-1.525479259345547e-202,1.0975636891730852e-203,85.00791269619836,0.0,2864,3844,3956,4004,4004
0.00667,4.369111286326225,9.28413530075995,84.27168793046745,0.28441,0.06298,0.00079,-0.003936927230921573,2.0462288550973163e-05,2.0120817996641405,6.167550643669985e-199,1.3611043834965382e-198,2.276744162247769e-198,,,,2.973102031351457e-202,2.307480687967813e-200,-2.9950304798903494e-199,0.002863190691677989,0.006058271666613001,0.05537805606027871,5.9360345233991775e-202,-2.561168855808324e-202,1.7448525263114434e-202,84.89406156124946,0.0,2864,3844,3956,4004,4004
0.0075,4.369438803253721,9.282262574721074,84.14597398900493,0.2843,0.06312,0.00079,-0.003916939802043692,2.0389164891410727e-05,2.0018740085939752,1.0474323254038497e-199,1.474454152222939e-198,2.7659076045409714e-198,,,,5.1061030976167365e-202,3.9635952075758543e-200,-5.1446265291990575e-199,0.003218950173649923,0.006814137573720647,0.06223459170351331,6.229767302544627e-202,-3.715567269077759e-202,3.797791700347642e-202,84.76908240932977,0.0,2864,3844,3956,4004,4004
0.00833,4.3694675957487155,9.278663283182869,84.01092116702597,0.28446,0.06314,0.00079,-0.0038963834135879714,2.030464499543908e-05,1.9913606847046814,-5.562342505098146e-199,1.4545211375584753e-198,3.0792223458393573e-198,,,,7.244386934431984e-202,5.623912301378531e-200,-7.299679957784063e-199,0.003574724161512911,0.0075697807067847045,0.06908051114065807,6.0459585367640025e-202,-4.907997044177121e-202,6.177431780096732e-202,84.63463070590689,0.0,2864,3844,3956,4004,4004
0.00917,4.368748753527296,9.27390103065273,83.86866419862541,0.28453,0.06321,0.00079,-0.003875675299295333,2.0216700105496977e-05,1.9807572850139301,-1.332756118738976e-198,1.2677676000959826e-198,3.1347375922206897e-198,,,,9.151988669444782e-202,7.105238898822995e-200,-9.222411050253568e-199,0.003934756151535781,0.008334183461643357,0.07599748581689363,5.267656724826117e-202,-6.029634449865509e-202,8.73770755377623e-202,84.49286384340148,0.0,2864,3844,3956,4004,4004
0.01,4.3668963993437435,9.268517716131402,83.72161166517353,0.28493,0.06323,0.00079,-0.003855302373492974,2.0132298090189637e-05,1.9703149100853339,-2.1696093026554638e-198,8.901795345713723e-199,2.8571404336268806e-198,,,,1.0555259486318218e-201,8.195114480279642e-200,-1.0637051440478317e-198,0.00429039736917689,0.009089073142453061,0.08282033733272268,3.841791226295118e-202,-6.90816709759561e-202,1.1177090976269165e-201,84.34621191630933,0.0,2864,3844,3956,4004,4004
0.01083,4.363635156318455,9.262975627057415,83.57220666833648,0.28492,0.06309,0.00079,-0.0038357777336111188,2.0056951059123456e-05,1.9602980877390102,-2.9900731734966888e-198,3.1248715097068123e-199,2.1878972048061782e-198,,,,1.1163137775102995e-201,8.66754696701293e-200,-1.1250268832208489e-198,0.004645830404605231,0.009843518033694291,0.08963111961780737,1.7412070950164365e-202,-7.397790745280063e-202,1.3231001474439837e-201,84.19713627351028,0.0,2864,3844,3956,4004,4004
0.01167,4.358831307774829,9.257613569196899,83.42270640207167,0.285,0.06308,0.00079,-0.00381758626365171,1.9994488860930658e-05,1.950957089060335,-3.698667695244575e-198,-4.548511793594363e-199,1.0962523258534504e-198,,,,1.0694790722034622e-201,8.30447167628549e-200,-1.0779020129892705e-198,0.0050052134678588035,0.010606603349758362,0.09651164402613432,-1.0146879177223409e-202,-7.339133918303328e-202,1.4584136764062219e-201,84.04790754571148,0.0,2864,3844,3956,4004,4004
0.0125,4.352503289763108,9.252621430400756,83.27500573151075,0.28509,0.06288,0.00079,-0.003801128548461629,1.9947033276798066e-05,1.9424994229311707,-4.186721295050013e-198,-1.3775182521404069e-198,-4.099064126451661e-199,,,,8.913534685914753e-202,6.922086177558464e-200,-8.984733392175563e-199,0.00535986496632647,0.011360182781944483,0.10329815793366068,-4.224948056506126e-202,-6.593148837198268e-202,1.486355848051801e-201,83.90042829333386,0.0,2864,3844,3956,4004,4004
0.01334,4.344810874615316,9.248034410347845,83.13051775969849,0.28513,0.06321,0.00079,-0.00378667413747709,1.9915133454529845e-05,1.9350660729739977,-4.340896670715044e-198,-2.3947480750911894e-198,-2.2745581547280245e-198,,,,5.6649528524817395e-202,4.400445351058055e-200,-5.711721481702487e-199,0.005718211704527189,0.012122446803895006,0.11015439831254548,-7.73849721076064e-202,-5.038899665052308e-202,1.375750538946891e-201,83.75611323949255,0.0,2864,3844,3956,4004,4004
0.01417,4.336025524304879,9.243745136763337,82.99011245927242,0.28548,0.06294,0.00079,-0.0037743321384828745,1.989801611232615e-05,1.9287164871111897,-4.054521452648231e-198,-3.4189774218715865e-198,-4.386857350503065e-198,,,,9.161043711537456e-203,7.139056372926719e-201,-9.266979877090609e-200,0.006071621575581829,0.012875274886927223,0.11691741834970512,-1.1156397860053684e-201,-2.672044809356305e-202,1.104554321605675e-201,83.61582809195603,0.0,2864,3844,3956,4004,4004
0.015,4.326486809102589,9.239529746592522,82.85410693239582,0.28546,0.06309,0.00079,-0.0037640424159639933,1.9893903137894522e-05,1.9234239628093013,-3.2412181948697952e-198,-4.338378820561082e-198,-6.5787335947847996e-198,,,,-5.208235063937588e-202,-4.0407335155192276e-200,5.244695780234855e-199,0.006424285446443347,0.013627756732340965,0.12366918528746902,-1.4126602906652983e-201,4.8609127728166796e-203,6.581286658365886e-202,83.4798804120633,0.0,2864,3844,3956,4004,4004
0.01584,4.316551531698632,9.23508315223377,82.72229796341003,0.28539,0.06327,0.00079,-0.003755587034621653,1.990035305097296e-05,1.9190812573442708,-1.849937311600568e-198,-5.022766667354571e-198,-8.628200492720695e-198,,,,-1.2397120701116522e-201,-9.622132816247903e-200,1.2489209500677942e-198,0.006780395912161039,0.014388947732998406,0.13049126432198602,-1.6224260798428904e-201,4.343070441212678e-202,3.157256756318686e-203,83.34805311644462,0.0,2864,3844,3956,4004,4004
0.01667,4.306543074200509,9.23005899802095,82.59402727734427,0.28578,0.06322,0.00079,-0.0037486190567981256,1.9914589940312502e-05,1.9155149804252558,1.1989961027494085e-199,-5.333125574992483e-198,-1.0269537557599519e-197,,,,-2.013802194935395e-201,-1.563243534491105e-199,2.0290436770893855e-198,0.007131455028209103,0.015140691367648501,0.13722153989702499,-1.6928585097204087e-201,8.559109511455804e-202,-7.377826950724253e-202,83.2196710174198,0.0,2864,3844,3956,4004,4004
0.0175,4.296708229767252,9.224110472605068,82.46827035166197,0.28612,0.06282,0.00079,-0.003742703981117682,1.993379253195211e-05,1.912506394389074,2.60479765354558e-198,-5.1346747615057156e-198,-1.121105835796624e-197,,,,-2.7719649413898664e-201,-2.151945177665351e-199,2.7931651228352867e-198,0.007481706293670586,0.015891988288051894,0.14394147362694829,-1.5819319970643795e-201,1.2820708045449273e-201,-1.6122899756889817e-201,83.09369127928655,0.0,2864,3844,3956,4004,4004
0.01834,4.287187445443777,9.216928564794369,82.34373984047063,0.286,0.06286,0.00079,-0.003737368542466467,1.9955325743543218e-05,1.90981595087867,5.46705099908603e-198,-4.312966610814561e-198,-1.116052724976136e-197,,,,-3.425760546730728e-201,-2.659656498436868e-199,3.4521641956657006e-198,0.00783537996328063,0.016651795978470822,0.15073205807088452,-1.249355688878653e-201,1.671332524367266e-201,-2.5340440458985708e-201,82.9688088336575,0.0,2864,3844,3956,4004,4004
