TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,0.2610732027311239,1.652087894564866,75.01281722672942,0.13692,0.1026,0.0005,-0.013958088483938594,7.993616939131131e-05,7.135684268573981,2.912508780819263e-238,3.09385632525887e-237,-5.400429388329184e-237,,,,-6.560387372198555e-240,-5.0976084568898365e-238,6.616482710325481e-237,0.0,0.0,0.0,0.0,-0.0,0.0,75.03146208037843,0.0,3616,4584,4688,4728,4728
0.00083,0.24745926797007653,1.6631797139420545,74.96601683421353,0.13595,0.10335,0.0005,-0.014023014200718427,8.137247804506238e-05,7.168619306130638,6.157607702631911e-238,5.059062376851985e-237,-8.958529598288066e-237,,,,-7.096445299819513e-240,-5.5141310986516525e-238,7.157106122396135e-237,2.070311968095192e-05,0.0001349695172437295,0.006105863302872079,3.6925804721602244e-242,-3.319175497409861e-241,-5.8457475878366816e-241,74.98487235994844,0.0,3616,4584,4688,4728,4728
0.00167,0.23415550880532532,1.673811650224986,74.92231073890525,0.13601,0.10276,0.0005,-0.014085373108023385,8.276988522777218e-05,7.200253589424329,9.589555848464252e-238,6.989765566866035e-237,-1.2476491022462001e-236,,,,-6.988477849940064e-240,-5.430226095673999e-238,7.04819449288186e-237,4.054661171365203e-05,0.00027246023543013993,0.012281562175539721,1.0180726798482866e-241,-8.283533586780561e-241,-1.4677404783998128e-240,74.94137122244169,0.0,3616,4584,4688,4728,4728
0.0025,0.22127840103945634,1.6834884858104886,74.88378996725247,0.13617,0.10321,0.0005,-0.0141425992041835,8.407460023342134e-05,7.229285373296095,1.287747381776524e-237,8.662373867915436e-237,-1.5553000209747786e-236,,,,-6.075723320629256e-240,-4.720977847564973e-238,6.127613074074635e-237,5.908800933429786e-05,0.00040914095991834815,0.01838039324443846,1.9327391581049886e-241,-1.465575433277162e-240,-2.6088631106999215e-240,74.9030379722492,0.0,3616,4584,4688,4728,4728
0.00333,0.2089096214182998,1.6918116725628167,74.85206555224337,0.13695,0.1027,0.0005,-0.014192566075088795,8.524110108336281e-05,7.254634953537299,1.561771954924886e-237,9.82197332649968e-237,-1.7728106787078402e-236,,,,-4.243642249002609e-240,-3.297387054989473e-238,4.2798451485353437e-237,7.66016090105868e-05,0.000546554492315963,0.024476364526420415,3.092821222866183e-241,-2.218100934082593e-240,-3.963786898201211e-240,74.8714737894392,0.0,3616,4584,4688,4728,4728
0.00417,0.19709400525649862,1.698505776897767,74.82816565631146,0.13672,0.10288,0.0005,-0.014233731013915242,8.623533051797984e-05,7.275517721951285,1.7359181481797867e-237,1.0202225851901461e-236,-1.8518556659738266e-236,,,,-1.4490312738979568e-240,-1.1258848630595207e-238,1.4613205453883802e-237,9.332977043684185e-05,0.0006862423518686381,0.030643489412675293,4.4515354991473705e-241,-3.043137988631077e-240,-5.457221925536952e-240,74.8476996534259,0.0,3616,4584,4688,4728,4728
0.005,0.18584000559986366,1.7034274796074143,74.81249845631409,0.13678,0.10324,0.0005,-0.014265207714017797,8.703617954452894e-05,7.291481201052443,1.7640625964292752e-237,9.551872465780505e-237,-1.7465189745576115e-236,,,,2.2560460662272528e-240,1.7530723109355975e-238,-2.2754490999753195e-237,0.00010891958841982065,0.0008247401576408487,0.03673558530969645,5.876430159988889e-241,-3.847356962291386e-240,-6.922174217316908e-240,74.83211962093525,0.0,3616,4584,4688,4728,4728
0.00583,0.1751226536545215,1.7065602228029388,74.80487399746713,0.13686,0.10329,0.0005,-0.014286772351099927,8.763541607822401e-05,7.3024085178220295,1.603918611258309e-237,7.666671541427086e-237,-1.419037646192942e-236,,,,6.704485615950065e-240,5.209638162012623e-238,-6.761927790678012e-237,0.00012361491972205554,0.0009635658719875279,0.04282673296834857,7.247585829356619e-241,-4.548349716640818e-240,-8.210919800973769e-240,74.82454269499287,0.0,3616,4584,4688,4728,4728
0.00667,0.16488905596118708,1.7079987136829682,74.80457153191142,0.13729,0.10282,0.0005,-0.014298814291753958,8.803640279559443e-05,7.308493987930535,1.2227597600569162e-237,4.4246842386158186e-237,-8.461809352758486e-237,,,,1.1601836206915076e-239,9.015014242927733e-238,-1.1701143857456363e-236,0.00013762408218164195,0.00110425252928862,0.04899094134305002,8.412233851905917e-241,-5.046537757490145e-240,-9.14423516091054e-240,74.82424987983221,0.0,3616,4584,4688,4728,4728
0.0075,0.15506636357038897,1.7079267402290295,74.810438034122,0.137,0.10307,0.0005,-0.01430224415140839,8.825201644930507e-05,7.310197163688345,6.036173547068134e-238,-1.7811226096513354e-238,-2.572726667815078e-238,,,,1.6524829748346681e-239,1.284030800002797e-237,-1.6666207850459998e-236,0.0001506499472439017,0.0012433199784055585,0.05508199280499759,9.155779370982953e-241,-5.219422072558271e-240,-9.499202068549043e-240,74.83009219681817,0.0,3616,4584,4688,4728,4728
