TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,3.992020971101858,6.452683517403878,43.09741612462293,0.28177,0.08259,0.00079,-0.0024194950701356176,9.958794380112942e-06,1.2362078529265463,4.667717840144426e-162,8.489026356539578e-163,-6.8118294109198905e-162,,,,-4.878089861798899e-165,-3.7903707078901706e-163,4.919750991857189e-162,0.0,0.0,0.0,0.0,-0.0,0.0,43.760263169094415,8.014270644254663e-162,2256,3132,3236,3284,3284
0.00083,3.9849657128362845,6.472742748160627,43.14182557306664,0.28091,0.08322,0.00078,-0.002452421995246894,1.1747773814267035e-05,1.2532771909134235,5.112349707849961e-162,2.3556295572113045e-162,-7.957650903525844e-162,,,,-4.460669346169956e-165,-3.465813594855135e-163,4.498488749752077e-162,0.0003247550933831477,0.0005262134914105293,0.0035109288883754895,3.981612199801735e-166,-1.3046131236983413e-166,-6.012876978215576e-166,43.80631762877648,9.688780764876294e-162,2256,3132,3236,3284,3284
0.00167,3.977490036948452,6.492134874948871,43.18521950630367,0.28046,0.08397,0.00078,-0.0024835733297436826,1.3430008701606301e-05,1.2694180263075152,5.108697520019276e-162,4.0049971622998024e-162,-8.527397794209506e-162,,,,-3.436081783951731e-165,-2.6694423496150108e-163,3.4648304636857314e-162,0.0006528241951857785,0.001060392379237887,0.007067775799735705,8.192888078628418e-166,-3.9253185446713076e-166,-1.2805046742656497e-165,43.85124201246964,1.0659976479499694e-161,2256,3132,3236,3284,3284
0.0025,3.969539185804162,6.510493696426849,43.227482216653335,0.28125,0.08336,0.00079,-0.0025118508512864493,1.4933406950016788e-05,1.2840542004912003,4.536922938274081e-162,5.652161364618419e-162,-8.303298350170743e-162,,,,-1.7552107376687072e-165,-1.3631109482309733e-163,1.769264103416804e-162,0.0009763596753878717,0.0015897488923214496,0.010585766505929869,1.2119764851506517e-165,-7.85689263835762e-166,-1.9657075603475865e-165,43.89486289202791,1.0889249515090521e-161,2256,3132,3236,3284,3284
0.00333,3.961142218673454,6.527547541269877,43.26852651263973,0.28132,0.08339,0.00079,-0.0025363728290880047,1.6203014204809472e-05,1.2967231857051877,3.3081134248343133e-162,7.113670980562775e-162,-7.097296618293531e-162,,,,5.713773909913266e-166,4.4494529100872215e-164,-5.775212178159722e-163,0.0012992296113862622,0.00212054710816994,0.014107148765312483,1.531359683047339e-165,-1.3054054473566062e-165,-2.59268888240622e-165,43.93705624134488,1.0425662668870226e-161,2256,3132,3236,3284,3284
0.00417,3.952423053480652,6.543137717010458,43.30831008954134,0.28115,0.08308,0.00078,-0.002556516737714738,1.720502785745999e-05,1.3070988749397208,1.3824481459536843e-162,8.177477958345293e-162,-4.779900183166577e-162,,,,3.458597589978592e-165,2.688583027813859e-163,-3.4896740695271623e-162,0.0016252843277295556,0.0026590854821816065,0.017674287586995546,1.724620200886946e-165,-1.9354313659374965e-165,-3.0820531450199796e-165,43.97776736021643,9.688780764876294e-162,2256,3132,3236,3284,3284
0.005,3.9436004562660836,6.557223733260415,43.346871819733046,0.2804,0.08356,0.00078,-0.0025719432566635174,1.7928379249572287e-05,1.3150044729344206,-1.21321338422981e-162,8.618807348533626e-162,-1.3102643556548666e-162,,,,6.7363037422844815e-165,5.235561071635114e-163,-6.795550631142997e-162,0.0019467432888466097,0.0031924208473643094,0.02120215002529497,1.7315100018888674e-165,-2.6192333352084977e-165,-3.3299928786422087e-165,44.017047427139666,8.608707619392529e-162,2256,3132,3236,3284,3284
0.00583,3.934976267012289,6.5698760942697305,43.38437765803383,0.28102,0.08335,0.00078,-0.00258260270557218,1.838381935842189e-05,1.320416005508893,-4.3704273642148727e-162,8.221696974715208e-162,3.2354953590451454e-162,,,,1.0145361375336538e-164,7.88449164765201e-163,-1.023375755565065e-161,0.002267491965116357,0.003726844771992803,0.024733109288409078,1.5041916115585618e-165,-3.304835526964443e-165,-3.2516138366476853e-165,44.05509658247172,9.940479322862118e-162,2256,3132,3236,3284,3284
0.00667,3.926912742398487,6.5812590218870675,43.42116089810214,0.28178,0.08291,0.00079,-0.00258872577869352,1.860081485686938e-05,1.323457389095291,-7.889321154508949e-162,6.805336365439892e-162,8.641380857215712e-162,,,,1.334254605373098e-164,1.0368650214701036e-162,-1.3458096961784722e-161,0.0025914175160820997,0.004268697841048695,0.02830967108799899,9.990654530901031e-166,-3.923979354645513e-165,-2.7622627827853056e-165,44.092298961819345,1.3520513635260356e-161,2256,3132,3236,3284,3284
0.0075,3.919800866369798,6.591606109874764,43.457740719887965,0.28047,0.08304,0.00078,-0.0025907993618886917,1.862283658058738e-05,1.3243874930727857,-1.1476258096130804e-161,4.253568239048367e-162,1.4537969613666014e-161,,,,1.5916090932780087e-164,1.2368060565546213e-162,-1.6053252414703072e-161,0.0029108689971654696,0.004804984939860417,0.031846641491219796,2.1066367342768282e-166,-4.374203949451137e-165,-1.8185966560900044e-165,44.12923450975261,1.9120893753235554e-161,2256,3132,3236,3284,3284
0.00833,3.914022266161178,6.601192138719505,43.49480693798028,0.28053,0.08363,0.00078,-0.0025895263209978828,1.8501748028009246e-05,1.323578676482175,-1.4751285186108264e-161,5.451257254313211e-163,2.0402272952274296e-161,,,,1.741301389663609e-164,1.3530733269626055e-162,-1.7562355582457471e-161,0.003229795687625505,0.005342083545758063,0.035386610135193106,-8.570989549071943e-166,-4.569565978786052e-165,-3.961269708667238e-166,44.16665641096771,2.514764455524206e-161,2256,3132,3236,3284,3284
